"ID","Title","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"","","","","","","","","","
Step Description:
1. Click on the title of the Product with variations

Expected Result:
1. Product with variations details page opens
","","1. Product with variations details page opens
","","1. Click on the title of the Product with variations
",""
"C407483","Product's block > stock decreased while being in the cart","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Add Product_1 to the cart (for example,1 item)
2. Go to Admin Environment > Catalog > Product_1 > widget FFC 
3. Decrease the stock for all available FFC less than 15 (for example 10)
4. Go to the cart. 
5. Pay attention to the Product_1
Expected Result:
1. Product_1 presented in the cart
2. Input field highlighted in red color
2. Message __10 items in stock__ appears
3. Button Place order inactive

 
","","1. Product_1 presented in the cart
2. Input field highlighted in red color
2. Message __10 items in stock__ appears
3. Button Place order inactive

 
","","1. Add Product_1 to the cart (for example,1 item)
2. Go to Admin Environment > Catalog > Product_1 > widget FFC 
3. Decrease the stock for all available FFC less than 15 (for example 10)
4. Go to the cart. 
5. Pay attention to the Product_1","Functional"
"C407484","Product's block > out of stock while being in the cart","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Add Product_1 to the cart (for example,1 item)
2. Go to Admin Environment > Catalog > Product_1 > widget __FFC__ 
3. Remove all available stock
4. Go to the cart. 
5. Pay attention to the Product_1
Expected Result:
1. Product_1 exists on the checkout page, but without the added amount of the item
2. Message """"out of stock"""" appears
3. Button Remove 
 
","","1. Product_1 exists on the checkout page, but without the added amount of the item
2. Message ""out of stock"" appears
3. Button Remove 
 
","","1. Add Product_1 to the cart (for example,1 item)
2. Go to Admin Environment > Catalog > Product_1 > widget __FFC__ 
3. Remove all available stock
4. Go to the cart. 
5. Pay attention to the Product_1","Functional"
"C407485","Product's block > can't be purchased while being in the cart","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Add product_1 to the cart
2. Go to Admin Environment > Catalog > Product_1 > Switch off toggle Can be purchased 
3. Go to the cart 
4. Pay attention to the Product_1
Expected Result:
1. There is a notification, that product is not longer available for purchase","","1. There is a notification, that product is not longer available for purchase","","1. Add product_1 to the cart
2. Go to Admin Environment > Catalog > Product_1 > Switch off toggle Can be purchased 
3. Go to the cart 
4. Pay attention to the Product_1","Other"
"C407486","Product's block > product is not visible","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Add product_1 to the cart
2. Go to Admin Environment > Catalog > Product_1 > Switch off toggle Visibility
3. Go to the cart 
4. Pay attention to the Product_1
Expected Result:
1. There is a notification, that product is not longer available for purchase","","1. There is a notification, that product is not longer available for purchase","","1. Add product_1 to the cart
2. Go to Admin Environment > Catalog > Product_1 > Switch off toggle Visibility
3. Go to the cart 
4. Pay attention to the Product_1","Other"
"C407487","Product's block > product deleted while being in the cart","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
1. Add product_1 to the cart
2. Go to Admin Environment > Catalog > Product_1 > Delete the product_1 from the Category 
3. Go to the cart 
4. Pay attention to the Product_1
Expected Result:
1. There is a notification, that product is not longer available for purchase","","1. There is a notification, that product is not longer available for purchase","","1. Add product_1 to the cart
2. Go to Admin Environment > Catalog > Product_1 > Delete the product_1 from the Category 
3. Go to the cart 
4. Pay attention to the Product_1","Other"
"C407488","Order summary > Subtotal","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","","","","","","Other"
"C407489","Order summary > Discount","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","","","","","","Other"
"C407490","Order summary > Tax","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","","","","","","Other"
"C407491","Order summary > Shipping cost > Apply coupon","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Add products to the cart

Apply a coupon

Pay attention to Order summary &gt; discounts

Pay attention to shipping cost
Expected Result:
The shipping discount is displayed in the discount block

Shipping
-$5.00

The shipping cost is displayed as the full price

Shipping cost = 50$ (ground)","","The shipping discount is displayed in the discount block

Shipping
-$5.00

The shipping cost is displayed as the full price

Shipping cost = 50$ (ground)","","Add products to the cart

Apply a coupon

Pay attention to Order summary &gt; discounts

Pay attention to shipping cost","Other"
