"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C407711","Do NOT display SKU Selector if product has no variations","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Product without variations
Expected Result:
SKU Selector is not displayed","","SKU Selector is not displayed","","Product without variations","Other"
"C407712","Load 150 variations from backend (filtering out-of-stock)","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Product page is opened
Expected Result:
150 variations loaded, only in-stock ones shown","","150 variations loaded, only in-stock ones shown","","Product page is opened","Other"
"C407713","Option groups from variation properties","https://virtowayqa.testrail.io/index.php?/attachments/get/1000005381","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Inspect generated option groups
Expected Result:
Matrix includes expected options (e.g. Color: Red, Blue)

---

 ![](index.php?/attachments/get/1000005381) 
","","Matrix includes expected options (e.g. Color: Red, Blue)

---

 ![](index.php?/attachments/get/1000005381) 
","","Inspect generated option groups","Other"
"C407714","Matrix reflects changes if some variations are removed","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Variation is removed after load
Expected Result:
Matrix refreshes or handles missing data","","Matrix refreshes or handles missing data","","Variation is removed after load","Other"
"C407715","Customer can click on any available option","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Click Color: Red
Expected Result:
Red is selected","","Red is selected","","Click Color: Red","Other"
"C407716","Unavailable options are disabled or marked","https://virtowayqa.testrail.io/index.php?/attachments/get/1000005384","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Select Color: Green, Size: 40 is unavailable
Expected Result:
40 is marked as unavailable

---
 

 ![](index.php?/attachments/get/1000005384)
","","40 is marked as unavailable

---
 

 ![](index.php?/attachments/get/1000005384)
","","Select Color: Green, Size: 40 is unavailable","Other"
"C407717","Option availability refreshes on selection","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Select Color: Blue
Expected Result:
Size options refresh","","Size options refresh","","Select Color: Blue","Other"
"C407718","Auto-select if only one value is available","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Only one Size available for selected Color
Expected Result:
Size is auto-selected","","Size is auto-selected","","Only one Size available for selected Color","Other"
"C407719","Show guidance if not all options are selected","","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Select only one property
Expected Result:
UI shows hint or error to select all options","","UI shows hint or error to select all options","","Select only one property","Other"
"C407720","Reselect if current option becomes unavailable","https://virtowayqa.testrail.io/index.php?/attachments/get/1000005382","","Medium","B2C variation layout","2","https://virtocommerce.atlassian.net/browse/VCST-3459
https://virtocommerce.atlassian.net/browse/VCST-3565

Available from vc-frontend 2.27.0


","Product details page > Variations  (Desktop+Mobile) > B2C variation layout","","Step Description:
Change Color → current Size becomes unavailable
Expected Result:
First available Size is auto-selected

 ![](index.php?/attachments/get/1000005382) 
","","First available Size is auto-selected

 ![](index.php?/attachments/get/1000005382) 
","","Change Color → current Size becomes unavailable","Other"
