"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C389055","Registration without Email Verification","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002471","","Medium","Email verification","1","","Registration  (Desktop+Mobile) > Email verification","","Step Description:
Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button


Expected Result:
The /successful-registration page opened
The title: Registration completed

Text: Thank you for showing your interest in registering with us. We kindly ask you to check your mailbox to verify the email address you’ve entered.



The home page button is displayed


  
","","The /successful-registration page opened
The title: Registration completed

Text: Thank you for showing your interest in registering with us. We kindly ask you to check your mailbox to verify the email address you’ve entered.



The home page button is displayed


  
","","Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button

","Other"
"","","","","","","","","","","
Step Description:
Click on the Home page
Expected Result:
The home page is opened","","The home page is opened","","Click on the Home page",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
User successfully registered","","User successfully registered","","Go to sign in page
Enter your Email and password
Sign in",""
"","","","","","","","","","","
Step Description:
Check the email confirmation in the email
Expected Result:
There is no letter for confirmation","","There is no letter for confirmation","","Check the email confirmation in the email",""
"","","","","","","","","","","
Step Description:
Check Registered letter
Expected Result:
The letter with the subject Registered is received","","The letter with the subject Registered is received","","Check Registered letter",""
"C389056","Registration with Optional Email Verification","","","Medium","Email verification","1","","Registration  (Desktop+Mobile) > Email verification","","Step Description:
Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button
Expected Result:
The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button","Other"
"","","","","","","","","","","
Step Description:
Click on the Home page
Expected Result:
The home page is opened","","The home page is opened","","Click on the Home page",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
User successfully registered","","User successfully registered","","Go to sign in page
Enter your Email and password
Sign in",""
"","","","","","","","","","","
Step Description:
Check Registered letter
Expected Result:
The letter with the subject Registered is received","","The letter with the subject Registered is received","","Check Registered letter",""
"","","","","","","","","","","
Step Description:
Check the email confirmation in the email
Expected Result:
The letter for the email confirmation is received","","The letter for the email confirmation is received","","Check the email confirmation in the email",""
"","","","","","","","","","","
Step Description:
Click on the link
Expected Result:
The successful email confirmation page is opened with sign in button","","The successful email confirmation page is opened with sign in button","","Click on the link",""
"C389057","Registration with Mandatory Email Verification","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002219","","Medium","Email verification","1","","Registration  (Desktop+Mobile) > Email verification","","Step Description:
Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button
Expected Result:
The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","The /successful-registration page opened
The title: Registration completed

The home page button is displayed","","Go to the Sign-up page
Fill in all required fields
Click on the Sign-up button","Automated"
"","","","","","","","","","","
Step Description:
Click on the Home page
Expected Result:
The home page is opened","","The home page is opened","","Click on the Home page",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
The user cannot enter the site until he confirms the mail

The error message:

Email verification required. Please verify your email address



","","The user cannot enter the site until he confirms the mail

The error message:

Email verification required. Please verify your email address



","","Go to sign in page
Enter your Email and password
Sign in",""
"","","","","","","","","","","
Step Description:
Check the email confirmation in the email
Expected Result:
The letter for the email confirmation is received","","The letter for the email confirmation is received","","Check the email confirmation in the email",""
"","","","","","","","","","","
Step Description:
Click on the link
Expected Result:
The successful email confirmation page is opened with sign in button","","The successful email confirmation page is opened with sign in button","","Click on the link",""
"","","","","","","","","","","
Step Description:
Go to sign in page
Enter your Email and password
Sign in
Expected Result:
User successfully registered","","User successfully registered","","Go to sign in page
Enter your Email and password
Sign in",""
"","","","","","","","","","","
Step Description:
Check Registered letter
Expected Result:
The letter with the subject Registered is received","","The letter with the subject Registered is received","","Check Registered letter",""
"","","","","","","","","","","
Step Description:
Go to the admin site
Security &gt; Find User1
Check the flag


Expected Result:
The email is verified


 ![](index.php?/attachments/get/7cd2dac8-e95a-4c22-b716-018d0e9c7760) 
","","The email is verified


 ![](index.php?/attachments/get/7cd2dac8-e95a-4c22-b716-018d0e9c7760) 
","","Go to the admin site
Security &gt; Find User1
Check the flag

",""
